Watchfinder.co.uk Limited, 2629, 10228, 23652, 21023, 13424
Think Limited, 2757, 5367, 8587, 5830, 3220
Chargemaster plc, 2421, 5604, 7613, 5192, 2009
Chess Technologies Limited, 1045, 4236, 3605, 2560, (631)
Perfect Channel Limited, 3527, 930, 424, (3103), (506)
MEL Topco Limited (t/a Maplin), –, –, 335, 335, 335
Charterhouse Leisure Limited, 875, 8, 91, (784), 83
MatsSoft Limited, –, –, 57, 57, 57
Skills Matter Limited*, 15, 15, 15, –, –
Conversity Limited, 28, –, 4, (24), 4
Total, 13297, 26388, 44383, 31086, 17995
